이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153360.jpg,노니노 아마로,Nonino Amaro,고도주,11,1,5,포마스,레몬,오크통,허브
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153359.jpg,로 샤도네이 그라빠 디 노니노,Lo Chardonnay Grappa di Nonino,고도주,10,1,5,블렌디드,시나몬,아몬드,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0152000/W0152380.jpg,라모스 핀토 LBV 포트,Ramos Pinto LBV Port,주정강화,9,5,5,블렌디드,사과, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0152000/W0152379.jpg,라모스 핀토 타우니 포트,Ramos Pinto Tawny Port,주정강화,7,5,5,블렌디드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/IMAGE/0152000/T0152378_002.png,라모스 핀토 루비 포트,Ramos Pinto Ruby Port,주정강화,6,5,5,블렌드,베리,사과,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0151000/W0151362.jpg,파이니스트 피노 셰리,Finest Fino Sherry,주정강화,2,2,4,팔로미노,레몬,사과,아몬드
https://wine21.speedgabia.com/WINE_MST/TITLE/0151000/W0151015.jpg,이 발지니 브라운 라벨,I Balzini Brown Label,고도주,14,1,4,블렌드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0150000/W0150771.jpg,비스타 알레그레 리저브 토니 포트,Vista Alegre Reserve Tawny Porto,주정강화,9,5,5,블렌디드,숙성,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0150000/W0150630.jpg,다우 너바나 리저브 포트,Dow's Nirvana Reserve Port,주정강화,5,5,5,블렌디드,꽃,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0148000/W0148084.jpg,노미노 디스틸라토리 프루넬라 만도를라타,Nomino Distillatori Prunella Mandorlata,고도주,11,1,5,블렌드,사과,아몬드, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0146000/W0146916.jpg,폴 자불레 애네 뮈스까 봄 드 브니즈 '르 샹 데 그리올',Paul Jaboulet Aine Muscat Beaumes de Venise 'Le Chant des Griolles',주정강화,5,5,5,뮈스까,사과, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0143000/W0143611.jpg,뷔스넬 파인 깔바도스,Busnel Fine Calvados,고도주,10,1,5,사과,사과,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0143000/W0143352.jpg,알렉산더 미자,Alexander Mizar,고도주,8,1,5,산지오베제,시나몬, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0141000/W0141190.jpg,돔 브리얼 리브쟐트,Dom Brial Rivesaltes,주정강화,12,5,4,블렌디드,숙성, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0141000/W0141004.jpg,테일러 10년 올드 타니,Taylor's 10 Year Old Tawny,주정강화,9,2,4,블렌디드,아몬드, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0138000/W0138737.jpg,다우 10년 숙성 토니 포트,Dow's 10 Year Old Tawny Port,주정강화,7,4,5,블렌디드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0138000/W0138741.jpg,다우 파인 토니 포트,Dow's Fine Tawny Port,주정강화,3,5,5,블렌디드,사과,시나몬,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0138000/W0138457.jpg,로얄 오포르토 타니 포트,Royal Oporto Tawny Port,주정강화,4,5,4,블렌디드,오크통, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0138000/W0138145.jpg,그라함 10년 토니 포트,Graham's Port 10 Years Tawny Port,주정강화,10,2,4,블렌디드,레몬,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0137000/W0137925.jpg,블랜디스 알바다 5년,Blandy's Alvada 5 Y.O Rich,주정강화,8,5,5,블렌디드,사과, , 
https://wine21.speedgabia.com/WINE_MST/TITLE/0137000/W0137926.jpg,블랜디스 산타루치아 스위트,Blandy's Santa Luzia Sweet,주정강화,5,5,5,틴타 네그라 몰레,숙성,오크통, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0137000/W0137459.jpg,알마덴 레드 상그리아,Almaden Red Sangria,기타,1,3,2,블렌드,레몬,베리, 
