이미지,이름,영문이름,종류,가격,당도,바디,품종,아로마1,아로마2,아로마3
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171843.jpg,쥴리앙 필롱 생 페레 블랑,Julien Pilon St Peray Blanc,화이트,12,1,3,블렌디드,꽃,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171837.jpg,도멘 뷔송 샤를 부르고뉴 블랑,Domaine Buisson Charles Bourgogne Blanc,화이트,13,1,3,샤르도네,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171836.jpg,도멘 뷔송 샤를 알리고떼,Domaine Buisson Charles Bourgogne Aligote,화이트,9,1,2,알리고테,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171834.jpg,도멘 자비에 모노 부르고뉴 샤도네이 레 그랑 쿠튀르,Domaine Xavier Monnot Bourgogne Chardonnay Les Grandes Coutures,화이트,13,1,3,샤르도네,레몬,아몬드,오크통
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171809.jpg,도멘 장 콜레 샤블리,Domaine Jean Collet Chabils,화이트,10,1,2,샤르도네,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171804.jpg,샤토 필립 하디 생토방 '엉 베보',Chateau Philippe Le Hardi Saint-Aubin 'En Vesveau',화이트,14,1,3,샤르도네,레몬,사과,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171803.jpg,도멘 말렁드 샤블리,Domaine Malandes Chablis,화이트,11,1,2,샤르도네,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171802.jpg,샤토 필립 하디 부르고뉴 샤도네이 비에이비뉴,Chateau Philippe Le Hardi Bourgogne Chardonnay V.V,화이트,9,1,1,샤르도네,돌,사과,시나몬
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171801.jpg,도멘 뱅상 당프 샤블리 프리미에 크뤼 바이용,Domaine Vincent Dampt Chablis 1er Cru Vaillons,화이트,15,1,2,샤르도네,돌,레몬,사과
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171789.jpg,도멘 바인바흐 리슬링 퀴베 테오,Domaine Weinbach Riesling Cuvee Theo,화이트,12,1,3,리슬링,사과,파인애플, 
https://wine21.speedgabia.com/WINE_MST/TITLE/0171000/W0171788.jpg,도멘 바인바흐 피노 블랑,Domaine Weinbach Pinot Blanc,화이트,8,1,3,피노 블랑,돌,사과,파인애플
